ActivityHour,StepTotal
10/1/2017 12:00:00 AM,19
10/1/2017 1:00:00 AM,10
10/1/2017 2:00:00 AM,10
10/1/2017 3:00:00 AM,0
10/1/2017 4:00:00 AM,9
10/1/2017 5:00:00 AM,0
10/1/2017 6:00:00 AM,0
10/1/2017 7:00:00 AM,0
10/1/2017 8:00:00 AM,0
10/1/2017 9:00:00 AM,182
10/1/2017 10:00:00 AM,739
10/1/2017 11:00:00 AM,548
10/1/2017 12:00:00 PM,2887
10/1/2017 1:00:00 PM,3246
10/1/2017 2:00:00 PM,1293
10/1/2017 3:00:00 PM,63
10/1/2017 4:00:00 PM,442
10/1/2017 5:00:00 PM,681
10/1/2017 6:00:00 PM,594
10/1/2017 7:00:00 PM,742
10/1/2017 8:00:00 PM,379
10/1/2017 9:00:00 PM,499
10/1/2017 10:00:00 PM,223
10/1/2017 11:00:00 PM,12
10/2/2017 12:00:00 AM,23
10/2/2017 1:00:00 AM,42
10/2/2017 2:00:00 AM,0
10/2/2017 3:00:00 AM,0
10/2/2017 4:00:00 AM,0
10/2/2017 5:00:00 AM,0
10/2/2017 6:00:00 AM,0
10/2/2017 7:00:00 AM,83
10/2/2017 8:00:00 AM,1552
10/2/2017 9:00:00 AM,339
10/2/2017 10:00:00 AM,264
10/2/2017 11:00:00 AM,357
10/2/2017 12:00:00 PM,1102
10/2/2017 1:00:00 PM,274
10/2/2017 2:00:00 PM,1705
10/2/2017 3:00:00 PM,546
10/2/2017 4:00:00 PM,474
10/2/2017 5:00:00 PM,84
10/2/2017 6:00:00 PM,897
10/2/2017 7:00:00 PM,282
10/2/2017 8:00:00 PM,34
10/2/2017 9:00:00 PM,75
10/2/2017 10:00:00 PM,142
10/2/2017 11:00:00 PM,71
10/3/2017 12:00:00 AM,10
10/3/2017 1:00:00 AM,33
10/3/2017 2:00:00 AM,6
10/3/2017 3:00:00 AM,0
10/3/2017 4:00:00 AM,0
10/3/2017 5:00:00 AM,14
10/3/2017 6:00:00 AM,14
10/3/2017 7:00:00 AM,36
10/3/2017 8:00:00 AM,254
10/3/2017 9:00:00 AM,648
10/3/2017 10:00:00 AM,173
10/3/2017 11:00:00 AM,493
10/3/2017 12:00:00 PM,895
10/3/2017 1:00:00 PM,94
10/3/2017 2:00:00 PM,212
10/3/2017 3:00:00 PM,416
10/3/2017 4:00:00 PM,181
10/3/2017 5:00:00 PM,399
10/3/2017 6:00:00 PM,148
10/3/2017 7:00:00 PM,3046
10/3/2017 8:00:00 PM,232
10/3/2017 9:00:00 PM,1450
10/3/2017 10:00:00 PM,1686
10/3/2017 11:00:00 PM,2834
10/4/2017 12:00:00 AM,253
10/4/2017 1:00:00 AM,0
10/4/2017 2:00:00 AM,0
10/4/2017 3:00:00 AM,10
10/4/2017 4:00:00 AM,0
10/4/2017 5:00:00 AM,5
10/4/2017 6:00:00 AM,8
10/4/2017 7:00:00 AM,21
10/4/2017 8:00:00 AM,965
10/4/2017 9:00:00 AM,0
10/4/2017 10:00:00 AM,267
10/4/2017 11:00:00 AM,275
10/4/2017 12:00:00 PM,0
10/4/2017 1:00:00 PM,942
10/4/2017 2:00:00 PM,130
10/4/2017 3:00:00 PM,532
10/4/2017 4:00:00 PM,94
10/4/2017 5:00:00 PM,126
10/4/2017 6:00:00 PM,298
10/4/2017 7:00:00 PM,1066
10/4/2017 8:00:00 PM,828
10/4/2017 9:00:00 PM,414
10/4/2017 10:00:00 PM,110
10/4/2017 11:00:00 PM,0
10/5/2017 12:00:00 AM,0
10/5/2017 1:00:00 AM,0
10/5/2017 2:00:00 AM,0
10/5/2017 3:00:00 AM,0
10/5/2017 4:00:00 AM,26
10/5/2017 5:00:00 AM,761
10/5/2017 6:00:00 AM,58
10/5/2017 7:00:00 AM,1852
10/5/2017 8:00:00 AM,67
10/5/2017 9:00:00 AM,49
10/5/2017 10:00:00 AM,446
10/5/2017 11:00:00 AM,32
10/5/2017 12:00:00 PM,174
10/5/2017 1:00:00 PM,118
10/5/2017 2:00:00 PM,309
10/5/2017 3:00:00 PM,169
10/5/2017 4:00:00 PM,31
10/5/2017 5:00:00 PM,439
10/5/2017 6:00:00 PM,2050
10/5/2017 7:00:00 PM,8
10/5/2017 8:00:00 PM,273
10/5/2017 9:00:00 PM,492
10/5/2017 10:00:00 PM,818
10/5/2017 11:00:00 PM,175
10/6/2017 12:00:00 AM,21
10/6/2017 1:00:00 AM,0
10/6/2017 2:00:00 AM,10
10/6/2017 3:00:00 AM,0
10/6/2017 4:00:00 AM,8
10/6/2017 5:00:00 AM,0
10/6/2017 6:00:00 AM,21
10/6/2017 7:00:00 AM,842
10/6/2017 8:00:00 AM,583
10/6/2017 9:00:00 AM,18
10/6/2017 10:00:00 AM,267
10/6/2017 11:00:00 AM,485
10/6/2017 12:00:00 PM,1284
10/6/2017 1:00:00 PM,241
10/6/2017 2:00:00 PM,106
10/6/2017 3:00:00 PM,212
10/6/2017 4:00:00 PM,1282
10/6/2017 5:00:00 PM,105
10/6/2017 6:00:00 PM,282
10/6/2017 7:00:00 PM,169
10/6/2017 8:00:00 PM,29
10/6/2017 9:00:00 PM,584
10/6/2017 10:00:00 PM,322
10/6/2017 11:00:00 PM,5
10/7/2017 12:00:00 AM,0
10/7/2017 1:00:00 AM,15
10/7/2017 2:00:00 AM,0
10/7/2017 3:00:00 AM,7
10/7/2017 4:00:00 AM,16
10/7/2017 5:00:00 AM,152
10/7/2017 6:00:00 AM,1363
10/7/2017 7:00:00 AM,812
10/7/2017 8:00:00 AM,0
10/7/2017 9:00:00 AM,7
10/7/2017 10:00:00 AM,58
10/7/2017 11:00:00 AM,986
10/7/2017 12:00:00 PM,1865
10/7/2017 1:00:00 PM,2877
10/7/2017 2:00:00 PM,1220
10/7/2017 3:00:00 PM,574
10/7/2017 4:00:00 PM,416
10/7/2017 5:00:00 PM,1637
10/7/2017 6:00:00 PM,698
10/7/2017 7:00:00 PM,885
10/7/2017 8:00:00 PM,109
10/7/2017 9:00:00 PM,698
10/7/2017 10:00:00 PM,133
10/7/2017 11:00:00 PM,0
10/8/2017 12:00:00 AM,0
10/8/2017 1:00:00 AM,4
10/8/2017 2:00:00 AM,0
10/8/2017 3:00:00 AM,0
10/8/2017 4:00:00 AM,0
10/8/2017 5:00:00 AM,0
10/8/2017 6:00:00 AM,23
10/8/2017 7:00:00 AM,191
10/8/2017 8:00:00 AM,833
10/8/2017 9:00:00 AM,370
10/8/2017 10:00:00 AM,119
10/8/2017 11:00:00 AM,872
10/8/2017 12:00:00 PM,1392
10/8/2017 1:00:00 PM,790
10/8/2017 2:00:00 PM,465
10/8/2017 3:00:00 PM,2657
10/8/2017 4:00:00 PM,0
10/8/2017 5:00:00 PM,1616
10/8/2017 6:00:00 PM,947
10/8/2017 7:00:00 PM,288
10/8/2017 8:00:00 PM,649
10/8/2017 9:00:00 PM,93
10/8/2017 10:00:00 PM,7
10/8/2017 11:00:00 PM,0
